Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"csv/AP",2.7768415665894414e-2,2.737233088043299e-2,2.8108829713135625e-2,6.257417607532756e-4,5.024640264975558e-4,8.193721367799657e-4
"csv/P2",2.847935602691736e-2,2.8388709283142948e-2,2.872504637268152e-2,2.4325270298886824e-4,6.184681903204217e-5,4.055296250631471e-4
"csv/P3",2.6225871300965216e-2,2.5948042130738168e-2,2.710606501129236e-2,7.595549576136949e-4,1.7345053860747984e-4,1.258050565786745e-3
"csv/U1",8.76001779797372e-2,8.744947359588709e-2,8.77898876431283e-2,2.872618427722933e-4,1.945614681256617e-4,4.257267118725503e-4
"csv/U2",0.16025125429657067,0.15993966505554283,0.16066345617797936,6.107379540678218e-4,3.9937623895499615e-4,8.922876050127049e-4
"csv/PP",3.447827742126551e-2,3.441471502807702e-2,3.456832811859216e-2,1.28001396767287e-4,8.599405577004303e-5,1.6507332921802777e-4
"expr/AP",0.11982962534454432,0.1158043329479989,0.12692353174713222,8.615913762823878e-3,3.920119085559508e-3,1.0830647209029804e-2
"expr/P2",0.15128817007568443,0.1510825817349252,0.15151566908386316,3.67013974685647e-4,2.529092136253415e-4,5.496531595290639e-4
"expr/P3",0.15059704229858484,0.1505013649227914,0.15072128222015463,1.8472109131618947e-4,1.29500728595914e-4,2.496408421386794e-4
"expr/U1",0.2758503143551645,0.2736890737774667,0.2797870104077157,4.674514762398212e-3,6.058380079153889e-4,6.3028813665745925e-3
"expr/U2",0.3292361204388436,0.3279864494564828,0.3322689954998788,3.071834189914761e-3,1.3223157194806605e-3,4.901894969278443e-3
"expr/PP",0.3017685596707162,0.2886072580578622,0.3199692671063241,2.6393500077685955e-2,1.8780001600681502e-2,3.387368731711506e-2
"url/AP",0.12962448046234215,0.12924954340484704,0.13000215933349693,6.457866235008163e-4,5.911927910495235e-4,7.5704325630928e-4
"url/P2",0.14982509062316976,0.14900025770691,0.15201873228576746,2.160897187507727e-3,6.227373350533991e-4,3.5993638447765395e-3
"url/P3",0.18214246675994955,0.18205649302032556,0.18220414564636314,1.2327643148036805e-4,8.285614873844166e-5,1.8066251800817704e-4
"url/U1",0.2559993211987313,0.25492553160217374,0.25782920763519374,2.3924496806596836e-3,4.389017742009749e-4,4.077022459025242e-3
"url/U2",2.7190449659588634,2.7007970039608775,2.7515567486050423,4.0360836898422986e-2,2.2552756361430126e-2,6.015197919671466e-2
"url/PP",0.2002040092709359,0.19999308035400476,0.2004798118832406,4.110405519194777e-4,2.924575634944504e-4,5.073765859145564e-4
"http/AP",9.207608149078454e-2,9.204031870391932e-2,9.216010019805995e-2,8.892043861737745e-5,3.0487232966296653e-5,1.4985939877258832e-4
"http/P2",0.1633091633084115,0.16316019938018883,0.16345128462341393,2.486241179791663e-4,1.881598811996187e-4,3.318404307213472e-4
"http/P3",0.19055983469513024,0.1899972622158822,0.19266652510192955,1.6817506536650408e-3,9.31883449147925e-5,2.7811959868922153e-3
"http/U1",0.32403468534973234,0.3226664964917001,0.32762653276947107,3.612401466979187e-3,9.135046986191287e-4,6.13404955896039e-3
"http/U2",0.35965747282531824,0.3585700933697519,0.3616978590252694,2.379930100051849e-3,2.952240020457075e-4,3.468724344830713e-3
"http/PP",0.24856392786529627,0.23772034094360436,0.2658348028424081,2.4232958731188133e-2,1.3699188335842834e-2,2.867308077428895e-2
"json/AP",1.4482993340760135e-2,1.4454693055420778e-2,1.4533609605103396e-2,6.221948914681002e-5,1.719681403625466e-5,8.703936748285647e-5
"json/P2",5.3735012269287966e-2,5.36355440380868e-2,5.395278379943933e-2,2.402341432326517e-4,1.044101110578497e-4,3.874097729054665e-4
"json/P3",6.488084242370691e-2,6.476196692016688e-2,6.522633478668298e-2,3.2480037983107326e-4,7.517097461035192e-5,5.418758574315629e-4
"json/U1",3.4345072961121464e-2,3.426916048553552e-2,3.4411210274964237e-2,1.2087704657730134e-4,8.283785206510884e-5,1.768761809629912e-4
"json/U2",4.914941236999597e-2,4.9014300561219123e-2,4.939991877105798e-2,3.04950168779154e-4,1.5772875174132638e-4,4.8573240309347787e-4
"json/PP",3.072833464172449e-2,3.0619138932495977e-2,3.0870146012574103e-2,2.109740307184711e-4,1.6168127999409976e-4,2.720334929365147e-4
"css/AP",4.772650644805994e-2,4.759399340179528e-2,4.796833441284265e-2,2.9143991360133255e-4,8.628328520384218e-5,3.9858522085864763e-4
"css/P2",7.271294043090906e-2,7.260274336364833e-2,7.284774229553309e-2,2.0727209872543987e-4,1.2595854082343626e-4,3.1779178010913353e-4
"css/P3",0.1354143087628182,0.13442122385528651,0.13899332926300134,2.90006648937484e-3,3.0695006628365603e-4,4.814043688569255e-3
"css/U1",0.24699212954071126,0.24670354769256675,0.2472904388668832,4.987464681477288e-4,3.3910047730898514e-4,7.833886435333939e-4
"css/U2",0.11203121588256923,0.11156424925354089,0.11371390268829432,1.3579034267977256e-3,1.661727820307199e-4,2.2607228968116256e-3
"css/PP",0.11368977472808924,0.11050595686462489,0.12133550093200769,7.344868258666767e-3,2.7305100505102574e-4,1.1407474478953352e-2
