Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"csv/AP",0.28244067984236615,0.28121566134108444,0.28541759806288614,3.073080219636654e-3,1.2257753276744038e-3,5.010787442731648e-3
"csv/P2",0.3694908555091752,0.3681682761253251,0.37199510889662635,2.918845422709784e-3,4.921815278070435e-4,4.216771646921878e-3
"csv/P3",0.38361610727919476,0.3824096854270829,0.38805381613386997,3.5781699615648217e-3,3.4600110163210293e-4,5.943914518048316e-3
"csv/U1",1.1403598006309403,1.1383968766273393,1.1430422242225542,3.8665173240039815e-3,2.614238472157507e-3,5.634393555020372e-3
"csv/U2",0.3599229271949662,0.35958544569624795,0.36034702616347203,6.418646244125096e-4,4.640505030949574e-4,8.643647248670648e-4
"csv/PP",0.953255313211812,0.949789040857686,0.9548524315894975,3.839946030257714e-3,1.5737815684141758e-3,6.352057481050296e-3
"expr/AP",0.6736868794502153,0.6722155983985795,0.6765427525581255,3.3846743396960016e-3,1.3899651521670211e-3,5.581704577523352e-3
"expr/P2",0.9075587447227372,0.9048388894142045,0.9112492497505083,5.187585920233812e-3,3.1880192332010217e-3,7.919787537428646e-3
"expr/P3",1.2877167161048784,1.2855003293098346,1.2907750542701617,4.416369325949244e-3,3.158218284903854e-3,6.07693277026526e-3
"expr/U1",2.053030389124287,2.0320971901954543,2.105630629831685,5.0288966509376816e-2,4.826326204776078e-3,7.967677272043054e-2
"expr/U2",2.1577548678459055,2.1537893708289992,2.1612489636482133,6.358005419154799e-3,5.092533035559024e-3,7.989042294606225e-3
"expr/PP",1.459905761057271,1.4581398423255814,1.4625312264503374,3.6984920935124654e-3,2.5305422506171444e-3,4.549935506026597e-3
"url/AP",1.3365176852287184,1.3349246438087359,1.3390287097038165,3.3672108791963683e-3,2.1381462403845756e-3,4.784317567882792e-3
"url/P2",1.763778608614339,1.7546074564994707,1.7678934510291948,9.995393149713913e-3,3.909038458536457e-3,1.656793731853043e-2
"url/P3",2.2708146746696367,2.269614284807576,2.2719912703575025,2.0267876608596053e-3,1.5817126339065018e-3,2.539503443150158e-3
"url/U1",4.065572517687214,4.033183735185993,4.096697586351765,5.418835186477575e-2,4.229759362711242e-2,7.200970284577385e-2
"url/U2",4.706503122621907,4.700232690149678,4.710662215525044,8.624911748486327e-3,4.46331460772895e-3,1.3975584497248948e-2
"url/PP",5.576449936205281,5.564294570261373,5.589262741381062,2.1238645258141838e-2,1.4694906383947177e-2,3.075633505620534e-2
"http/AP",1.2308408911765947,1.2297653134406938,1.232057755762471,1.9493733643422076e-3,1.434998569196049e-3,2.6520129302035345e-3
"http/P2",8.284529703432455,8.267258685404194,8.291353529268633,1.7635963198675074e-2,5.222118814169462e-3,2.9873437915326432e-2
"http/P3",3.1566356118263137,3.154211610132588,3.15938371973647,4.41878456049831e-3,3.2447959138638184e-3,6.266576515813685e-3
"http/U1",5.202375381761922,5.179205959612263,5.237584036165607,4.792100748331991e-2,2.776346219010516e-2,7.468531341550831e-2
"http/U2",5.336129873567952,5.329386776262654,5.338681429201498,6.784328163286376e-3,1.8061350779958437e-3,1.1417740446488274e-2
"http/PP",8.49248346644057,8.48787493067397,8.49665018873824,7.473187653869873e-3,5.6335545160140854e-3,1.0102571894302706e-2
"json/AP",0.3910494740547074,0.3905281479896439,0.3922569926322831,1.2876903363797103e-3,5.180209399897245e-4,2.102522872957585e-3
"json/P2",0.8594360526145829,0.8580259497703447,0.8624313529075517,3.372948912183629e-3,1.399939394076773e-3,5.551026057118594e-3
"json/P3",1.3123597558082476,1.3113633330406083,1.3137036021293533,2.0210440778811564e-3,1.3230220433799982e-3,2.3750574044297712e-3
"json/U1",1.0375501807273757,1.0372083838523758,1.0381486590446367,7.551929997309245e-4,3.87998820620695e-4,1.2012389555432026e-3
"json/U2",1.3739700968803301,1.37302638846053,1.3755521233619585,2.060281571245468e-3,1.2953331310121385e-3,3.167739941327996e-3
"json/PP",0.6714938576759232,0.6703900273383988,0.6733776505531205,2.4035727804808445e-3,6.491499190653914e-4,3.186091743545436e-3
"css/AP",0.6000749047340288,0.599241321855916,0.6006568606437578,1.1740386838942718e-3,7.11150734419949e-4,1.5892632095854701e-3
"css/P2",2.207046073252095,2.204605692201985,2.2106648381294143,5.012010705830111e-3,2.95434389201636e-3,7.730508006823338e-3
"css/P3",2.2842020924629107,2.2821653063835035,2.287510412508382,4.337905709182601e-3,2.6045734798837835e-3,6.468549247831114e-3
"css/U1",3.994771045023335,3.972860353762043,4.0238764460624585,4.315550184972701e-2,3.0390204380634774e-2,5.332485534008002e-2
"css/U2",1.477427094751729,1.4767483408988848,1.4785443957389726,1.4547347261805515e-3,8.907361088477092e-4,2.1445140565756636e-3
"css/PP",2.9894288237632645,2.987573760324849,2.9915711100639237,3.3812178915920053e-3,2.3070214111895458e-3,4.802179363667744e-3
